order,ptype,vars,elapsed,env,ide
1,pairs,2,0.07813406,win,R
2,pairs,3,0.07902503,win,R
3,pairs,4,0.093770981,win,R
4,pairs,5,0.078133106,win,R
5,pairs,6,0.109379053,win,R
6,pairs,7,0.113981009,win,R
7,pairs,8,0.140610933,win,R
8,pairs,9,0.234434128,win,R
9,pairs,10,0.189157009,win,R
10,pairs,2,0.031282902,win,R
11,pairs,3,0.078106165,win,R
12,pairs,4,0.073016882,win,R
13,pairs,5,0.093759775,win,R
14,pairs,6,0.089500904,win,R
15,pairs,7,0.109412909,win,R
16,pairs,8,0.150655985,win,R
17,pairs,9,0.171898127,win,R
18,pairs,10,0.205361128,win,R
19,pairs,2,0.015656948,win,R
20,pairs,3,0.031286001,win,R
21,pairs,4,0.031295061,win,R
22,pairs,5,0.035691977,win,R
23,pairs,6,0.062507153,win,R
24,pairs,7,0.067413092,win,R
25,pairs,8,0.080066919,win,R
26,pairs,9,0.112934828,win,R
27,pairs,10,0.130295038,win,R
28,pairs,2,0.031222105,win,R
29,pairs,3,0.015646935,win,R
30,pairs,4,0.045502901,win,R
31,pairs,5,0.040786982,win,R
32,pairs,6,0.046911955,win,R
33,pairs,7,0.082998991,win,R
34,pairs,8,0.093793154,win,R
35,pairs,9,0.109385014,win,R
36,pairs,10,0.125016212,win,R
37,pairs,2,0.015626907,win,R
38,pairs,3,0.033545971,win,R
39,pairs,4,0.03570199,win,R
40,pairs,5,0.046913147,win,R
41,pairs,6,0.062539816,win,R
42,pairs,7,0.07813406,win,R
43,pairs,8,0.078165054,win,R
44,pairs,9,0.109389067,win,R
45,pairs,10,0.128488064,win,R
46,pairs,2,0.015626907,win,R
47,pairs,3,0.015627146,win,R
48,pairs,4,0.046903133,win,R
49,pairs,5,0.046880007,win,R
50,pairs,6,0.059220791,win,R
51,pairs,7,0.078164816,win,R
52,pairs,8,0.095707178,win,R
53,pairs,9,0.11305809,win,R
54,pairs,10,0.140642881,win,R
55,pairs,2,0.024796009,win,R
56,pairs,3,0.031282902,win,R
57,pairs,4,0.046882153,win,R
58,pairs,5,0.04688096,win,R
